"No.","Time","Source","Destination","Protocol","Length","Info"
"160","0.411004","fe80::ca6c:3dff:fed8:b697","ff02::fb","MDNS","526","Standard query response 0x0000 PTR, cache flush Android-3.local PTR, cache flush Android-3.local PTR, cache flush Android-3.local PTR, cache flush Android-3.local A, cache flush 192.168.1.24 AAAA, cache flush fe80::ca6c:3dff:fed8:b697 AAAA, cache flush 2001:861:8b90:b750:ca6c:3dff:fed8:b697 AAAA, cache flush 2001:861:8b90:b750:3d28:3b5b:50c4:75f2 NSEC, cache flush 24.1.168.192.in-addr.arpa NSEC, cache flush 7.9.6.B.8.D.E.F.F.F.D.3.C.6.A.C.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 7.9.6.B.8.D.E.F.F.F.D.3.C.6.A.C.0.5.7.B.0.9.B.8.1.6.8.0.1.0.0.2.ip6.arpa NSEC, cache flush 2.F.5.7.4.C.0.5.B.5.B.3.8.2.D.3.0.5.7.B.0.9.B.8.1.6.8.0.1.0.0.2.ip6.arpa NSEC, cache flush Android-3.local"
"161","0.412195","159.180.236.246","192.168.1.12","TCP","60","4443  >  49018 [ACK] Seq=20360 Ack=53935 Win=1025 Len=0"
"162","0.417227","192.168.1.12","159.180.236.246","TLSv1.2","1478","Application Data"
"163","0.417745","192.168.1.12","159.180.236.246","TLSv1.2","1478","Application Data"
"164","0.418071","192.168.1.12","159.180.236.246","TLSv1.2","1478","Application Data"
"165","0.418389","192.168.1.12","159.180.236.246","TLSv1.2","776","Application Data"
"166","0.418620","192.168.1.12","159.180.236.246","TLSv1.2","259","Application Data"
"167","0.426004","159.180.236.246","192.168.1.12","TCP","60","4443  >  49018 [ACK] Seq=20360 Ack=56783 Win=1025 Len=0"
"168","0.426004","159.180.236.246","192.168.1.12","TCP","60","4443  >  49018 [ACK] Seq=20360 Ack=58929 Win=1025 Len=0"
"169","0.428915","159.180.236.246","192.168.1.12","TLSv1.2","126","Application Data"
"170","0.445505","159.180.236.246","192.168.1.12","TLSv1.2","459","Application Data"
"171","0.445750","192.168.1.12","159.180.236.246","TCP","54","49018  >  4443 [ACK] Seq=59134 Ack=20837 Win=8210 Len=0"
"172","0.449234","192.168.1.12","159.180.236.246","TLSv1.2","235","Application Data"
"173","0.451473","159.180.236.246","192.168.1.12","TLSv1.2","1429","Application Data"
"174","0.451473","159.180.236.246","192.168.1.12","TLSv1.2","377","Application Data"
"175","0.451543","192.168.1.12","159.180.236.246","TCP","54","49018  >  4443 [ACK] Seq=59315 Ack=22535 Win=8212 Len=0"
"176","0.451829","192.168.1.12","159.180.236.246","TLSv1.2","126","Application Data"
"177","0.460524","192.168.1.12","159.180.236.246","TLSv1.2","1478","Application Data"
"178","0.460613","192.168.1.12","159.180.236.246","TLSv1.2","1478","Application Data"
"179","0.460647","192.168.1.12","159.180.236.246","TLSv1.2","1478","Application Data"
"180","0.460690","192.168.1.12","159.180.236.246","TLSv1.2","775","Application Data"
"181","0.460727","192.168.1.12","159.180.236.246","TLSv1.2","245","Application Data"
"182","0.461011","159.180.236.246","192.168.1.12","TCP","60","4443  >  49018 [ACK] Seq=22535 Ack=59387 Win=1025 Len=0"
"183","0.470286","159.180.236.246","192.168.1.12","TCP","60","4443  >  49018 [ACK] Seq=22535 Ack=62235 Win=1025 Len=0"
"184","0.470286","159.180.236.246","192.168.1.12","TCP","60","4443  >  49018 [ACK] Seq=22535 Ack=64380 Win=1025 Len=0"
"185","0.470286","159.180.236.246","192.168.1.12","TLSv1.2","126","Application Data"
"186","0.478361","159.180.236.246","192.168.1.12","TLSv1.2","1429","Application Data"
"187","0.478361","159.180.236.246","192.168.1.12","TLSv1.2","314","Application Data"
"188","0.478586","192.168.1.12","159.180.236.246","TCP","54","49018  >  4443 [ACK] Seq=64571 Ack=24242 Win=8212 Len=0"
"189","0.479014","192.168.1.12","159.180.236.246","TLSv1.2","126","Application Data"
"190","0.488037","192.168.1.12","159.180.236.246","TLSv1.2","1478","Application Data"
"191","0.488150","192.168.1.12","159.180.236.246","TLSv1.2","1478","Application Data"
"192","0.488206","192.168.1.12","159.180.236.246","TLSv1.2","1478","Application Data"
"193","0.488257","192.168.1.12","159.180.236.246","TLSv1.2","776","Application Data"
"194","0.488309","192.168.1.12","159.180.236.246","TLSv1.2","259","Application Data"
"195","0.499924","159.180.236.246","192.168.1.12","TCP","60","4443  >  49018 [ACK] Seq=24242 Ack=66067 Win=1025 Len=0"
"196","0.499924","159.180.236.246","192.168.1.12","TCP","60","4443  >  49018 [ACK] Seq=24242 Ack=68915 Win=1025 Len=0"
"197","0.499924","159.180.236.246","192.168.1.12","TCP","60","4443  >  49018 [ACK] Seq=24242 Ack=69842 Win=1025 Len=0"
"198","0.500082","159.180.236.246","192.168.1.12","TLSv1.2","126","Application Data"
"199","0.509265","159.180.236.246","192.168.1.12","TLSv1.2","126","Application Data"
"200","0.509536","192.168.1.12","159.180.236.246","TCP","54","49018  >  4443 [ACK] Seq=69842 Ack=24386 Win=8211 Len=0"
"201","0.517646","159.180.236.246","192.168.1.12","TLSv1.2","1429","Application Data"
"202","0.517646","159.180.236.246","192.168.1.12","TLSv1.2","317","Application Data"
"203","0.517820","192.168.1.12","159.180.236.246","TCP","54","49018  >  4443 [ACK] Seq=69842 Ack=26024 Win=8212 Len=0"
"204","0.518379","192.168.1.12","159.180.236.246","TLSv1.2","126","Application Data"
"205","0.539027","159.180.236.246","192.168.1.12","TLSv1.2","507","Application Data"
"206","0.543551","192.168.1.12","159.180.236.246","TLSv1.2","235","Application Data"
"207","0.546796","192.168.1.12","159.180.236.246","TLSv1.2","1478","Application Data"
"208","0.547141","192.168.1.12","159.180.236.246","TLSv1.2","1478","Application Data"
"209","0.547337","192.168.1.12","159.180.236.246","TLSv1.2","1478","Application Data"
"210","0.547516","192.168.1.12","159.180.236.246","TLSv1.2","775","Application Data"
"211","0.547640","192.168.1.12","159.180.236.246","TLSv1.2","245","Application Data"
"212","0.555463","159.180.236.246","192.168.1.12","TCP","60","4443  >  49018 [ACK] Seq=26477 Ack=71519 Win=1025 Len=0"
"213","0.555463","159.180.236.246","192.168.1.12","TCP","60","4443  >  49018 [ACK] Seq=26477 Ack=74367 Win=1025 Len=0"
"214","0.555463","159.180.236.246","192.168.1.12","TCP","60","4443  >  49018 [ACK] Seq=26477 Ack=75279 Win=1025 Len=0"
"215","0.557733","159.180.236.246","192.168.1.12","TLSv1.2","126","Application Data"
"216","0.565815","159.180.236.246","192.168.1.12","TLSv1.2","1429","Application Data"
"217","0.565815","159.180.236.246","192.168.1.12","TLSv1.2","317","Application Data"
"218","0.566293","192.168.1.12","159.180.236.246","TCP","54","49018  >  4443 [ACK] Seq=75279 Ack=28187 Win=8212 Len=0"
"219","0.567393","192.168.1.12","159.180.236.246","TLSv1.2","126","Application Data"
"220","0.577180","192.168.1.12","159.180.236.246","TLSv1.2","1478","Application Data"
"221","0.577491","192.168.1.12","159.180.236.246","TLSv1.2","1478","Application Data"
"222","0.577657","192.168.1.12","159.180.236.246","TLSv1.2","1478","Application Data"
"223","0.577818","192.168.1.12","159.180.236.246","TLSv1.2","776","Application Data"
"224","0.577974","192.168.1.12","159.180.236.246","TLSv1.2","259","Application Data"
"225","0.586490","159.180.236.246","192.168.1.12","TCP","60","4443  >  49018 [ACK] Seq=28187 Ack=76775 Win=1025 Len=0"
"226","0.586490","159.180.236.246","192.168.1.12","TCP","60","4443  >  49018 [ACK] Seq=28187 Ack=79623 Win=1025 Len=0"
"227","0.586490","159.180.236.246","192.168.1.12","TCP","60","4443  >  49018 [ACK] Seq=28187 Ack=80550 Win=1025 Len=0"
"228","0.586490","159.180.236.246","192.168.1.12","TLSv1.2","126","Application Data"
"229","0.588321","159.180.236.246","192.168.1.12","TLSv1.2","126","Application Data"
"230","0.588483","192.168.1.12","159.180.236.246","TCP","54","49018  >  4443 [ACK] Seq=80550 Ack=28331 Win=8211 Len=0"
"231","0.608379","159.180.236.246","192.168.1.12","TLSv1.2","1429","Application Data"
"232","0.608379","159.180.236.246","192.168.1.12","TLSv1.2","317","Application Data"
"233","0.608684","192.168.1.12","159.180.236.246","TCP","54","49018  >  4443 [ACK] Seq=80550 Ack=29969 Win=8212 Len=0"
"234","0.609431","192.168.1.12","159.180.236.246","TLSv1.2","126","Application Data"
"235","0.629732","192.168.1.12","159.180.236.246","TLSv1.2","1478","Application Data"
"236","0.630119","192.168.1.12","159.180.236.246","TLSv1.2","1478","Application Data"
"237","0.630369","192.168.1.12","159.180.236.246","TLSv1.2","1478","Application Data"
"238","0.630560","192.168.1.12","159.180.236.246","TLSv1.2","775","Application Data"
"239","0.630706","192.168.1.12","159.180.236.246","TLSv1.2","245","Application Data"
"240","0.632830","159.180.236.246","192.168.1.12","TLSv1.2","331","Application Data"
"241","0.640006","159.180.236.246","192.168.1.12","TCP","60","4443  >  49018 [ACK] Seq=30246 Ack=83470 Win=1025 Len=0"
"242","0.640006","159.180.236.246","192.168.1.12","TCP","60","4443  >  49018 [ACK] Seq=30246 Ack=85615 Win=1025 Len=0"
"243","0.640006","159.180.236.246","192.168.1.12","TLSv1.2","126","Application Data"
"244","0.640227","192.168.1.12","159.180.236.246","TCP","54","49018  >  4443 [ACK] Seq=85806 Ack=30318 Win=8211 Len=0"
"245","0.640447","192.168.1.12","159.180.236.246","TLSv1.2","235","Application Data"
"246","0.649352","159.180.236.246","192.168.1.12","TLSv1.2","1429","Application Data"
"247","0.649352","159.180.236.246","192.168.1.12","TLSv1.2","310","Application Data"
"248","0.649602","192.168.1.12","159.180.236.246","TCP","54","49018  >  4443 [ACK] Seq=85987 Ack=31949 Win=8212 Len=0"
"249","0.650247","192.168.1.12","159.180.236.246","TLSv1.2","126","Application Data"
"250","0.668105","192.168.1.12","159.180.236.246","TLSv1.2","1478","Application Data"
"251","0.668368","192.168.1.12","159.180.236.246","TLSv1.2","1478","Application Data"
"252","0.668495","192.168.1.12","159.180.236.246","TLSv1.2","1478","Application Data"
"253","0.668611","192.168.1.12","159.180.236.246","TLSv1.2","776","Application Data"
"254","0.668718","192.168.1.12","159.180.236.246","TLSv1.2","259","Application Data"
"255","0.677229","159.180.236.246","192.168.1.12","TCP","60","4443  >  49018 [ACK] Seq=31949 Ack=87483 Win=1025 Len=0"
"256","0.677229","159.180.236.246","192.168.1.12","TCP","60","4443  >  49018 [ACK] Seq=31949 Ack=90331 Win=1025 Len=0"
"257","0.677229","159.180.236.246","192.168.1.12","TCP","60","4443  >  49018 [ACK] Seq=31949 Ack=91258 Win=1025 Len=0"
"258","0.677229","159.180.236.246","192.168.1.12","TLSv1.2","126","Application Data"
"259","0.679800","159.180.236.246","192.168.1.12","TLSv1.2","267","Application Data"
